SECTION,Feed_Posts
Date,Time ET,Format,Visual / Asset,Caption,Hashtags,CTA,Notes
2026-08-21,4:00 PM,Photo,Unpainted ceramic pumpkins on shelf (fall bisque sneak peek),"reasons we love ceramic pumpkins: ✔️ don't rot on your porch ✔️ squirrels don't eat them ✔️ you can paint them Colts blue if you want 💙 Sneak peek — fall bisque is landing this week. No studio fee, just pick your pumpkin. Who's coming to claim one?",#kokomo #firedartsstudio #falliscoming #paintyourownpottery #colts,Comment pumpkin emoji to save one,"Post as single photo, location tag Fired Arts Studio. First comment: All-inclusive — no studio fee."
2026-08-22,2:30 PM,Reel (8-10s),Customer creations dump — chihuahua figurine + hugging bunnies + strawberry dish (from Aug 17),"POV: you walked in to ""just look"" and left with 3 new shelf friends 🐶🐰🍓 We love a customer creation dump. Tag us in yours and we'll feature you.",#customercreations #kokomo #firedartsstudio,Tag us,"Use trending light audio, quick cuts"
2026-08-23,5:00 PM,Carousel (3 slides),Mosaic projects + supplies + finished pieces (from Aug 13),"not just pottery 👀 mosaics = pick your base, pick your tiles, no grout stress — we handle it. Perfect for when you want art but not paint on your hands. No studio fee, all supplies included.",#mosaic #diykokomo #firedartsstudio,DM us MOSAIC for open spots,Kiln Unload Reel also goes today at 4 PM — see separate script below. This is 2nd post of day.
2026-08-23,4:00 PM,Reel - Kiln Unload (15s),"Kiln gloves, opening kiln, 3-4 pieces: goose, pumpkin, Wildkat tray, customer reaction","kiln unload hits different every time 🔥✨ from bacon hearts to porch geese to Wildkat trays — look what you made Kokomo Paint this week, pick up next week. No studio fee.",#kilnunload #potteryreveal #kokomo,Your turn tomorrow? 111 W Sycamore,"SCRIPT: 0-2s Hook 'Kiln day = Christmas morning' / 2-6s open kiln / 6-10s pull bacon heart / 10-13s customer Oh my gosh / 13-15s wave + address. No music, kiln crackle."
2026-08-24,3:00 PM,Photo / Event Graphic,Garden gnomes canvas Black & Gold (from Aug 10 workshop),"our garden gnomes are getting ready for fall too 🎨 Weekly Canvas Workshop — Black & Gold gnomes, Tues 5:30-7:30. 111 W Sycamore, all supplies + step-by-step. No art degree required.",#canvaspainting #kokomoevents #firedartsstudio,Link in bio to save seat,Add story countdown sticker for Tues workshop
2026-08-25,2:00 PM,Photo,Football / Wildkat tray — paint new example (Bengals/Colts/Hoosiers inspo from uPaint),"Kokomo Wildkats? IU? Purdue? Colts? Game-day platters are officially our August thing. Paint your team, use it all season. No studio fee, just the tray. What team should we make next?",#gameday #wildkats #colts #iupottery #firedartsstudio,Comment your team,"Paint one example beforehand, photo on wood table"
2026-08-26,4:30 PM,Photo,Bacon heart pig (from Aug 18 Don't go bacon my heart),"don't go bacon my heart 🥓💔 — you said you'd come paint tonight Tuesday studio is open 11-6, walk-ins welcome. No studio fee, just your piece.",#baconheart #paintnight #kokomo,Walk-ins welcome,Repurpose Aug 18 visual
2026-08-27,5:00 PM,Photo,Frog planter + hanging crackle planter with greenery (from Aug 14),"plant parents, this one's for you 🪴🐸 Our crackle planters + frog friends are back in stock. Paint tonight, pick up after firing.",#plantparent #planter #firedartsstudio,Save this for plant night,Add 2nd slide: empty planter bisque options

SECTION,Stories
Date,Time ET,Story Type,Visual,Sticker,Copy,Link/CTA,Notes
2026-08-21,11:00 AM (before 4pm feed),Poll,Video pan of empty pumpkin shelf + one painted Colts blue pumpkin mockup,Poll: 'Need Colts blue pumpkins? 💙' Yes / Need it,"fall bisque is landing 👀 ceramic pumpkins don't rot, squirrels don't eat them. No studio fee.",Swipe up? No — 'DM PUMPKIN to save',Add location sticker Kokomo + #firedartsstudio small text bottom
2026-08-22,10:30 AM,Question,Boomerang of chihuahua figurine spinning,Question: 'What creation should we feature next?',Customer creations are my fave 🐶🐰🍓,Tag @firedartsstudio,Reshare responses to story next day
2026-08-23,3:00 PM (before 4pm Reel),Countdown,"Kiln closed, gloves on top",Countdown: 'Kiln Unload in 1 hour 🔥' Set for 4pm,Kiln day = Christmas morning — who's ready?,Countdown reminder ON,This drives views to the 4pm Reel kiln unload
2026-08-23,5:30 PM,Quiz,Mosaic tiles close-up,Quiz: 'Mosaics need grout stress?' Answers: Nope we handle it / Yes lots,not just pottery — mosaic night is back,Correct answer highlights no grout stress,Second story of day to support carousel post
2026-08-24,10:00 AM,Countdown,Garden gnomes Black & Gold canvas example,Countdown: 'Canvas Workshop Tues 5:30pm 🎨' Set for Tuesday Aug 26 5:30pm,Black & Gold gnomes are coming. All supplies included. No art degree required. 111 W Sycamore,Link sticker: Book canvas seat (Eventbrite or site),This is the key conversion story — add link sticker
2026-08-25,11:30 AM,Poll — 4-way Team Vote,"Blank white tray bisque + 4 small painted examples (Wildkats, Colts, IU, Purdue)",Poll: 'What team tray next?' Options: Wildkats / Colts — then second story IU / Purdue,Game-day platters are our August thing 🏈 What team should we paint next?,DM your team,"Split into 2 stories to get 4 options: Story 1 Wildkats vs Colts, Story 2 IU vs Purdue. Tally votes"
2026-08-26,3:30 PM,Poll,"Bacon heart pig in kiln, warm light",Poll: 'Paint tonight? 🥓' Yes / Omw,"don't go bacon my heart — open till 6, walk-ins welcome, no studio fee",Location sticker Fired Arts Studio,"Low effort, drives foot traffic same day"
2026-08-27,11:00 AM,Slider + Question,Frog planter with little succulent,"Slider: 'How cute is this frog? 🐸' with frog emoji, + Question: 'What plant would you put in here?'","plant parents, crackle planters are back in stock 🪴",Save this story for inspo,Add 2nd slide showing empty bisque planter options

SECTION,Reshare_Captions
Original Date,Reshare Date,Time ET,Original Poll,Reshare Copy,Visual,Sticker,CTA
2026-08-21,2026-08-22,9:00 AM,Colts blue pumpkins? Yes / Need it,you voted: YES we need Colts blue pumpkins 💙🔵 12 of you said Need it — ordering 10 more bisque this week. Comment BLUE to save yours. No studio fee.,Screenshot of poll results + photo of blue pumpkin,None — just text + emoji,DM BLUE
2026-08-22,2026-08-23,9:30 AM,What creation should we feature next?,you asked for more bunnies 🐰 last week's hugging bunnies won the question box — here's 3 more bunny bowls fresh from kiln. Keep sending ideas!,3 bunny bowls from kiln,None,Tag a bunny lover
2026-08-25,2026-08-26,10:00 AM,Wildkats vs Colts / IU vs Purdue,"Wildkats won by 8 votes! 🏈 Next up: painting Wildkats game-day platter live in stories tomorrow 2pm. Colts fans — you're next week. No studio fee, just the tray.",Poll results screenshot + Wildkat tray WIP,Countdown: Live paint tomorrow 2pm,Vote in next poll
2026-08-26,2026-08-27,10:00 AM,Paint tonight? Yes / Omw,"7 of you said Omw last night and you actually came 😭🥓 bacon hearts are firing now. Open 11-6 today, walk-ins welcome, no studio fee.",Photo of last night's bacon hearts on drying rack,None,Walk-ins today
2026-08-27,2026-08-28,9:00 AM,How cute is this frog? Slider + What plant would you put?,"average frog cuteness: 98% 🐸💚 you said pothos, succulents, and spider plants. New crackle planters are now on the shelf — no studio fee, just pick your plant home.",Slider result screenshot + shelf of planters,Question: What plant next?,Save for plant night

SECTION,7Way_Pricing
Studio,Location,Studio Fee Model,Piece Price Range,Workshop/Class Price,Promos/Notes
Fired Arts Studio (You),"111 W Sycamore St, Kokomo, IN","All-inclusive since Nov 2023, no separate studio fee, return fee only","Porch Goose 15"" $98 / 7"" $58, general pieces varied","Canvas, mosaic, goose painting workshops",First Friday Get Schooled 20% off
Oh Slip Ceramics and Bisque,"417 E Center Rd, Kokomo, IN",$60/month membership (7-day trial) unlimited OR $25 Clay Lab + $5 greenware cleaning + extra for greenware/glazing/firing,"Vintage molds, Christmas trees, $5-$100+ range","Adult Wheel $95 (3hr, 2 spots, all materials + firing)","Kid's Day every 2nd Saturday, Plant Bingo Aug 22, Leaf Bowl Aug 25, Cobblestone Pumpkins"
Kiln Creations,"60 N 9th St, Noblesville, IN","$6 pp for 6-19 + pottery, $5 pp for 20+ + pottery, $5 reservation + pottery","Includes paints, brushes, glazing, firing","Try It Wheel, 4-week course, Couples Night, Mushroom Lantern","Spirit Day $5 reservation, 20% to PTO"
uPaint Pottery Studio,Greenwood/Hamilton TC/Plainfield/Westfield/Polari s,"One Price, No Studio Fees, just pay pottery",Included,"uPaint a Story $15-$18, Pottery Painting $27, Plant Lady $29, Enjoy $49, Dec $42","Summer sale, Home School Art Day Aug 10, Story Time Aug 6"
Made In Muncie Pottery,"313 S Walnut St, Muncie, IN","Walk-ins, supplies & firing included, most spend $15-$25 pp","$7-$50, range $5-$100+, coloring-book tiles $15-$18","Private wheel lessons, LOVE sculptures date night","First Thursday fall pumpkin drop, new location Fall opening"
All Fired Up!,"310 E State St, West Lafayette, IN","$8 adults, $5 kids + pottery","600+ bisque, mugs, figurines, tiles",Custom birthday plates $40,"15% flash weekend, Student 10%, Diva 10%, Mommy & Me 10%"
The Glazed Gypsy,"28 E Morgan St, Martinsville, IN",No-fee windows during sales,Autumn/Halloween bisqueware,"Marbled Mug $30, Ravioli Spoon Rest $45","End of Summer no-fee Aug 1-5, Christmas in July no-fee"
Color Me Mine,"14300 Clay Terrace Blvd, Carmel, IN","$12 fee + pottery from $20, also $10 fee model, $8 variant, FREE with VIP",Pottery from $20 up,"Adult Events $75 (1.5hr + firing), Private rental $250 2hr min 35 painters",VIP free fee
